Date,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Impressions,Clicks,CTR,Installs,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Cost,Average eCPI,app_id,app_name,app_platform,report_type
2025-10-01,None,Organic,None,N/A,N/A,N/A,25,N/A,0,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-01,None,moloco_int,OMA7_le9vmh7junry9wyr9q0l_AR_ios15_balloons_sub6_sub7_sub8 MLC26826,46770,26198,0.5601,111,0.0042,218,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-02,None,Organic,None,N/A,N/A,N/A,20,N/A,0,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-02,None,moloco_int,OMA7_le9vmh7junry9wyr9q0l_AR_ios15_balloons_sub6_sub7_sub8 MLC26826,38937,19943,0.5122,61,0.0031,121,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-03,None,Organic,None,N/A,N/A,N/A,18,N/A,0,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-03,None,moloco_int,OMA7_le9vmh7junry9wyr9q0l_AR_ios15_balloons_sub6_sub7_sub8 MLC26826,28272,14551,0.5147,49,0.0034,97,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-04,None,Organic,None,N/A,N/A,N/A,26,N/A,0,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-04,None,moloco_int,OMA7_le9vmh7junry9wyr9q0l_AR_ios15_balloons_sub6_sub7_sub8 MLC26826,45325,19301,0.4258,52,0.0027,96,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-05,None,Organic,None,N/A,N/A,N/A,18,N/A,0,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-05,None,moloco_int,OMA7_le9vmh7junry9wyr9q0l_AR_ios15_balloons_sub6_sub7_sub8 MLC26826,52740,21822,0.4138,70,0.0032,141,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-06,None,Organic,None,N/A,N/A,N/A,8,N/A,0,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-06,None,moloco_int,OMA7_le9vmh7junry9wyr9q0l_AR_ios15_balloons_sub6_sub7_sub8 MLC26826,13447,5872,0.4367,20,0.0034,38,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-07,None,Organic,None,N/A,N/A,N/A,2,N/A,0,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-07,None,moloco_int,OMA7_le9vmh7junry9wyr9q0l_AR_ios15_balloons_sub6_sub7_sub8 MLC26826,N/A,N/A,N/A,1,N/A,2,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-08,None,Organic,None,N/A,N/A,N/A,4,N/A,0,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-09,None,Organic,None,N/A,N/A,N/A,3,N/A,0,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-10,None,Organic,None,N/A,N/A,N/A,3,N/A,0,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-11,None,Organic,None,N/A,N/A,N/A,3,N/A,0,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-12,None,Organic,None,N/A,N/A,N/A,3,N/A,0,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-13,None,Organic,None,N/A,N/A,N/A,1,N/A,0,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-16,None,Organic,None,N/A,N/A,N/A,1,N/A,0,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-16,None,moloco_int,TRUST_brdkMzM3_228_sub4_sub5_sub6_sub7_sub8_sub9_sub10_sub11,13654,7942,0.5817,31,0.0039,58,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-17,None,Organic,None,N/A,N/A,N/A,2,N/A,0,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-17,None,moloco_int,TRUST_brdkMzM3_228_sub4_sub5_sub6_sub7_sub8_sub9_sub10_sub11,11272,8278,0.7344,16,0.0019,32,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
2025-10-18,None,Organic,None,N/A,N/A,N/A,1,N/A,0,0,0.0000,N/A,N/A,id6751882513,Updraft Balloon,ios,daily_report
